clothing_id,clothing_type,size,gender,color,brand,description,image_url,aesthetic,store_name
NULL,shirt,8,W,Ripple Wave Wild Indigo/Sonic Pink,Lululemon,Swiftly Relaxed Long-Sleeve Shirt,"https://images.lululemon.com/is/image/lululemon/LW3GNTS_061322_1?wid=1600&op_usm=0.5,2,10,0&fmt=webp&qlt=80,1&fit=constrain,0&op_sharpen=0&resMode=sharp2&iccEmbed=0&printRes=72",athleisure,Lululemon
NULL,pants,8,W,Grey Sage,Lululemon,Everlux High-Rise Zip-Leg Track Pants Full Length,"https://images.lululemon.com/is/image/lululemon/LW5FAYS_036763_1?wid=1600&op_usm=0.5,2,10,0&fmt=webp&qlt=80,1&fit=constrain,0&op_sharpen=0&resMode=sharp2&iccEmbed=0&printRes=72",athleisure,Lululemon
NULL,sweatshirt,XL,W,Black ,Lululemon,Mixed Fabric Half-Zip Pullover,,athleisure,Lululemon
NULL,jacket,S,M,True Blue/Ice Blue/Ice Blue,Jordan,Jordan Essentials Men's Woven Jacket,"https://static.nike.com/a/images/t_PDP_864_v1/f_auto,b_rgb:f5f5f5/a285be60-eed2-404a-8026-560da24783f2/jordan-essentials-mens-woven-jacket-sGncSl.png",athletic,Nike
NULL,shorts ,M,M,Ice Blue/French Blue/Black,Jordan,Jordan Essentials Men's Woven Shorts,"https://static.nike.com/a/images/t_PDP_864_v1/f_auto,b_rgb:f5f5f5/d8a33e60-d0c6-484a-94d9-edbcd50ee9ff/jordan-essentials-mens-woven-shorts-LCp20K.png",athletic,Nike
NULL,shorts ,38,M,Ashen Slate,Nike,"Dri-Fit UV Men's 9"" Golf Chino Shorts","https://static.nike.com/a/images/t_PDP_864_v1/f_auto,b_rgb:f5f5f5/29b9bd01-09e1-4f39-9591-7c24671a2a01/dri-fit-uv-mens-9-golf-chino-shorts-5cn6GF.png",athletic ,Nike
NULL,shoes,10.5,M,Total Orange/Green Strike/Hot Punch/Vivid Purple,Nike,LeBron XX Basketball shoes,"https://static.nike.com/a/images/t_PDP_864_v1/f_auto,b_rgb:f5f5f5/ec858e0d-e5bb-4cf9-8863-e27c34f8685e/lebron-xx-basketball-shoes-ct1qVm.png",athletic,Nike
NULL,sweatshirt,XL,M,Team Gold,Nike,Nike Sportswear Club Fleece Men's Monogram Hoodie,"https://static.nike.com/a/images/t_PDP_864_v1/f_auto,b_rgb:f5f5f5/ac4946c8-de7f-4f1f-8df2-41827c8b2664/sportswear-club-fleece-mens-monogram-hoodie-6n8Jzs.png",athletic,Nike
NULL,pants,L,M,Team Gold,Nike,Nike Sportswear Club Fleece Men's Monogram Joggers,"https://static.nike.com/a/images/t_PDP_864_v1/f_auto,b_rgb:f5f5f5/ac0e3c50-7468-4f6b-9813-7e111e8540f9/sportswear-club-fleece-mens-monogram-joggers-fR324T.png",athletic,Nike
NULL,purse,Mini,W,Pink,Chanel,Sequins & Gold-Tone Metal Light Pink Mini Flap Bag,https://www.chanel.com/images/t_fashionzoom1/f_auto/mini-flap-bag-light-pink-sequins-gold-tone-metal-sequins-gold-tone-metal-packshot-artistique-vue1-as3966b10634no049-9521332879390.jpg,luxury,Chanel
NULL,shoes,9,M,Wolf Grey/Stadium Green/Baltic Blue/Volt,Nike,Nike Pegasus Trail 4 Gore-Tex,"https://static.nike.com/a/images/t_PDP_864_v1/f_auto,b_rgb:f5f5f5/f0b9b4d6-e692-44fa-b896-092cf2699046/pegasus-trail-4-gore-tex-mens-waterproof-trail-running-shoes-qdcSR6.png",athletic,Nike
NULL,top,S,W,Black ,Free People,Duo Corset Cami,https://images.urbndata.com/is/image/FreePeople/64532831_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,S,W,Washed Army,Free People,On The Dot Cami,https://images.urbndata.com/is/image/FreePeople/67245597_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,S,W,White,Zara,FLUID NECKLINE CROP TOP,https://static.zara.net/photos///2023/V/0/1/p/4043/044/712/2/w/1500/4043044712_1_1_1.jpg?ts=1677845866842,casual,Zara
NULL,top,S,W,Black ,Zara,SEAMLESS CUT OUT TOP,https://static.zara.net/photos///2023/V/0/1/p/7901/321/800/2/w/1500/7901321800_6_1_1.jpg?ts=1675349428242,casual,Zara
NULL,dress,S,W,GRAY / BEIGE,Zara,SATIN SLIP DRESS,https://static.zara.net/photos///2023/V/0/1/p/2915/331/814/2/w/1500/2915331814_1_1_1.jpg?ts=1677582547810,formal,Zara
NULL,top,S,W,Black ,Zara,OPEN BACK SATIN EFFECT TOP,https://static.zara.net/photos///2023/V/0/1/p/2442/650/800/12/w/1500/2442650800_1_1_1.jpg?ts=1677245651675,formal,Zara
NULL,top,S,W,Black ,Zara,ASYMMETRICAL TOP,https://www.zara.com/us/en/asymmetrical-top-p04174322.html?v1=227278007&v2=2184451,casual,Zara
NULL,dress,S,W,Black ,Zara,SATIN EFFECT DRESS,https://static.zara.net/photos///2023/V/0/1/p/2917/331/800/2/w/1500/2917331800_1_1_1.jpg?ts=1677582551833,formal,Zara
NULL,dress,S,W,OYSTER WHITE,Zara,SHORT DRESS WITH RUCHING,https://static.zara.net/photos///2023/V/0/1/p/3067/320/251/3/w/1500/3067320251_2_1_1.jpg?ts=1676375496925,formal,Zara
NULL,dress,S,W,LIGHT GRAY,Zara,SHORT DRESS WITH RUCHING,https://static.zara.net/photos///2023/V/0/1/p/3152/315/811/2/w/1500/3152315811_1_1_1.jpg?ts=1677230713007,formal,Zara
NULL,bodysuit,S,W,Charcoal gray,Zara,RIBBED HALTER BODYSUIT,https://static.zara.net/photos///2023/V/0/1/p/4174/323/818/2/w/1500/4174323818_1_1_1.jpg?ts=1673602711715,casual,Zara
NULL,bodysuit,S,W,White,Zara,RIBBED HALTER BODYSUIT,https://static.zara.net/photos///2023/V/0/1/p/4174/323/251/2/w/1500/4174323251_1_1_1.jpg?ts=1673611509312,casual,Zara
NULL,bodysuit,M,W,Black ,Zara,RIBBED HALTER BODYSUIT,https://static.zara.net/photos///2023/V/0/1/p/4174/323/800/2/w/1500/4174323800_1_1_1.jpg?ts=1673602721941,casual,Zara
NULL,jeans,4,W,Blue,Zara,TRF RIPPED WIDE LEG JEANS - HIGH RISE FULL LENGTH,https://static.zara.net/photos///2023/V/0/1/p/8197/227/400/2/w/1500/8197227400_1_1_1.jpg?ts=1674820739294,casual,Zara
NULL,bodysuit,L,W,MULTICOLORED,Zara,PRINTED TULLE BODYSUIT,https://static.zara.net/photos///2023/V/0/1/p/5039/318/330/2/w/1500/5039318330_6_1_1.jpg?ts=1676537115527,casual,Zara
NULL,jeans,27,W,light blue,Levi's,Wedgie Straight ,,casual,Levi's
NULL,bodysuit,S,W,Black ,Zara,RIBBED HALTER BODYSUIT,https://static.zara.net/photos///2023/V/0/1/p/4174/323/800/2/w/1500/4174323800_1_1_1.jpg?ts=1673602721941,casual,Zara
NULL,shoes,6,W,"black, tan",Steve Madden,Steve Madden Kimmie Sandals,,casual,Steve Madden
NULL,bodysuit,S,W,White,Zara,RIBBED HALTER BODYSUIT,https://static.zara.net/photos///2023/V/0/1/p/4174/323/800/2/w/1500/4174323800_1_1_1.jpg?ts=1673602721941,casual,Zara
NULL,shoes,7,W,Black,Doc Marten's,Platform Doc Marten's boots,,grunge,Doc Marten's
NULL,bodysuit,S,W,White,Zara,RIBBED HALTER BODYSUIT,https://static.zara.net/photos///2023/V/0/1/p/4174/323/800/2/w/1500/4174323800_1_1_1.jpg?ts=1673602721941,casual,Zara
NULL,bodysuit,S,W,White,Zara,RIBBED HALTER BODYSUIT,https://static.zara.net/photos///2023/V/0/1/p/4174/323/800/2/w/1500/4174323800_1_1_1.jpg?ts=1673602721941,casual,Zara
NULL,bodysuit,S,W,White,Zara,RIBBED HALTER BODYSUIT,https://static.zara.net/photos///2023/V/0/1/p/4174/323/800/2/w/1500/4174323800_1_1_1.jpg?ts=1673602721941,casual,Zara
NULL,bodysuit,L,W,MULTICOLORED,Zara,PRINTED TULLE BODYSUIT,https://static.zara.net/photos///2023/V/0/1/p/5039/318/330/2/w/1500/5039318330_6_1_1.jpg?ts=1676537115527,casual,Zara
NULL,top,S,W,Black ,Free People,Duo Corset Cami,https://images.urbndata.com/is/image/FreePeople/64532831_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,S,W,Black ,Free People,Duo Corset Cami,https://images.urbndata.com/is/image/FreePeople/64532831_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,S,W,Black ,Free People,Duo Corset Cami,https://images.urbndata.com/is/image/FreePeople/64532831_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,S,W,Black ,Free People,Duo Corset Cami,https://images.urbndata.com/is/image/FreePeople/64532831_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,S,W,Black ,Free People,Duo Corset Cami,https://images.urbndata.com/is/image/FreePeople/64532831_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,jeans,2,W,Blue,Zara,TRF RIPPED WIDE LEG JEANS - HIGH RISE FULL LENGTH,https://static.zara.net/photos///2023/V/0/1/p/8197/227/400/2/w/1500/8197227400_1_1_1.jpg?ts=1674820739294,casual,Zara
NULL,jeans,6,W,Blue,Zara,TRF RIPPED WIDE LEG JEANS - HIGH RISE FULL LENGTH,https://static.zara.net/photos///2023/V/0/1/p/8197/227/400/2/w/1500/8197227400_1_1_1.jpg?ts=1674820739294,casual,Zara
NULL,jeans,8,W,Blue,Zara,TRF RIPPED WIDE LEG JEANS - HIGH RISE FULL LENGTH,https://static.zara.net/photos///2023/V/0/1/p/8197/227/400/2/w/1500/8197227400_1_1_1.jpg?ts=1674820739294,casual,Zara
NULL,jeans,4,W,Blue,Zara,TRF RIPPED WIDE LEG JEANS - HIGH RISE FULL LENGTH,https://static.zara.net/photos///2023/V/0/1/p/8197/227/400/2/w/1500/8197227400_1_1_1.jpg?ts=1674820739294,casual,Zara
NULL,dress,S,W,OYSTER WHITE,Zara,SHORT DRESS WITH RUCHING,https://static.zara.net/photos///2023/V/0/1/p/3067/320/251/3/w/1500/3067320251_2_1_1.jpg?ts=1676375496925,formal,Zara
NULL,dress,M,W,OYSTER WHITE,Zara,SHORT DRESS WITH RUCHING,https://static.zara.net/photos///2023/V/0/1/p/3067/320/251/3/w/1500/3067320251_2_1_1.jpg?ts=1676375496925,formal,Zara
NULL,dress,S,W,LIGHT GRAY,Zara,SHORT DRESS WITH RUCHING,https://static.zara.net/photos///2023/V/0/1/p/3152/315/811/2/w/1500/3152315811_1_1_1.jpg?ts=1677230713007,formal,Zara
NULL,dress,M,W,LIGHT GRAY,Zara,SHORT DRESS WITH RUCHING,https://static.zara.net/photos///2023/V/0/1/p/3152/315/811/2/w/1500/3152315811_1_1_1.jpg?ts=1677230713007,formal,Zara
NULL,dress,S,W,LIGHT GRAY,Zara,SHORT DRESS WITH RUCHING,https://static.zara.net/photos///2023/V/0/1/p/3152/315/811/2/w/1500/3152315811_1_1_1.jpg?ts=1677230713007,formal,Zara
NULL,dress,S,W,GRAY / BEIGE,Zara,SATIN SLIP DRESS,https://static.zara.net/photos///2023/V/0/1/p/2915/331/814/2/w/1500/2915331814_1_1_1.jpg?ts=1677582547810,formal,Zara
NULL,dress,S,W,GRAY / BEIGE,Zara,SATIN SLIP DRESS,https://static.zara.net/photos///2023/V/0/1/p/2915/331/814/2/w/1500/2915331814_1_1_1.jpg?ts=1677582547810,formal,Zara
NULL,dress,L,W,GRAY / BEIGE,Zara,SATIN SLIP DRESS,https://static.zara.net/photos///2023/V/0/1/p/2915/331/814/2/w/1500/2915331814_1_1_1.jpg?ts=1677582547810,formal,Zara
NULL,top,S,W,Washed Army,Free People,On The Dot Cami,https://images.urbndata.com/is/image/FreePeople/67245597_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,S,W,Washed Army,Free People,On The Dot Cami,https://images.urbndata.com/is/image/FreePeople/67245597_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,M,W,Washed Army,Free People,On The Dot Cami,https://images.urbndata.com/is/image/FreePeople/67245597_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,L,W,Washed Army,Free People,On The Dot Cami,https://images.urbndata.com/is/image/FreePeople/67245597_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,M,W,Washed Army,Free People,On The Dot Cami,https://images.urbndata.com/is/image/FreePeople/67245597_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,S,W,Washed Army,Free People,On The Dot Cami,https://images.urbndata.com/is/image/FreePeople/67245597_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,S,W,White,Zara,FLUID NECKLINE CROP TOP,https://static.zara.net/photos///2023/V/0/1/p/4043/044/712/2/w/1500/4043044712_1_1_1.jpg?ts=1677845866842,casual,Zara
NULL,top,L,W,White,Zara,FLUID NECKLINE CROP TOP,https://static.zara.net/photos///2023/V/0/1/p/4043/044/712/2/w/1500/4043044712_1_1_1.jpg?ts=1677845866842,casual,Zara
NULL,top,S,W,White,Zara,FLUID NECKLINE CROP TOP,https://static.zara.net/photos///2023/V/0/1/p/4043/044/712/2/w/1500/4043044712_1_1_1.jpg?ts=1677845866842,casual,Zara
NULL,top,S,W,White,Zara,FLUID NECKLINE CROP TOP,https://static.zara.net/photos///2023/V/0/1/p/4043/044/712/2/w/1500/4043044712_1_1_1.jpg?ts=1677845866842,casual,Zara
NULL,top,M,W,White,Zara,FLUID NECKLINE CROP TOP,https://static.zara.net/photos///2023/V/0/1/p/4043/044/712/2/w/1500/4043044712_1_1_1.jpg?ts=1677845866842,casual,Zara
NULL,top,S,W,White,Zara,FLUID NECKLINE CROP TOP,https://static.zara.net/photos///2023/V/0/1/p/4043/044/712/2/w/1500/4043044712_1_1_1.jpg?ts=1677845866842,casual,Zara
NULL,top,S,W,Washed Army,Free People,On The Dot Cami,https://images.urbndata.com/is/image/FreePeople/67245597_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,S,W,Washed Army,Free People,On The Dot Cami,https://images.urbndata.com/is/image/FreePeople/67245597_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,S,W,Washed Army,Free People,On The Dot Cami,https://images.urbndata.com/is/image/FreePeople/67245597_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,S,W,Washed Army,Free People,On The Dot Cami,https://images.urbndata.com/is/image/FreePeople/67245597_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,top,S,W,Washed Army,Free People,On The Dot Cami,https://images.urbndata.com/is/image/FreePeople/67245597_001_a/?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,Free People
NULL,shorts ,S,W,Black,Zara,HIGH WAISTED SHORTS,https://static.zara.net/photos///2023/V/0/1/p/2234/663/800/2/w/1500/2234663800_6_1_1.jpg?ts=1676909203414,casual,Zara
NULL,shorts ,XS,W,Black,Zara,HIGH WAISTED SHORTS,https://static.zara.net/photos///2023/V/0/1/p/2234/663/800/2/w/1500/2234663800_6_1_1.jpg?ts=1676909203414,casual,Zara
NULL,shorts ,S,W,Black,Zara,HIGH WAISTED SHORTS,https://static.zara.net/photos///2023/V/0/1/p/2234/663/800/2/w/1500/2234663800_6_1_1.jpg?ts=1676909203414,casual,Zara
NULL,shorts ,M,W,Black,Zara,HIGH WAISTED SHORTS,https://static.zara.net/photos///2023/V/0/1/p/2234/663/800/2/w/1500/2234663800_6_1_1.jpg?ts=1676909203414,casual,Zara
NULL,shorts ,S,W,Black,Zara,HIGH WAISTED SHORTS,https://static.zara.net/photos///2023/V/0/1/p/2234/663/800/2/w/1500/2234663800_6_1_1.jpg?ts=1676909203414,casual,Zara
NULL,shorts ,M,W,Black,Zara,HIGH WAISTED SHORTS,https://static.zara.net/photos///2023/V/0/1/p/2234/663/800/2/w/1500/2234663800_6_1_1.jpg?ts=1676909203414,casual,Zara
NULL,shorts ,L,W,Black,Zara,HIGH WAISTED SHORTS,https://static.zara.net/photos///2023/V/0/1/p/2234/663/800/2/w/1500/2234663800_6_1_1.jpg?ts=1676909203414,casual,Zara
NULL,shorts ,S,W,Black,Zara,HIGH WAISTED SHORTS,https://static.zara.net/photos///2023/V/0/1/p/2234/663/800/2/w/1500/2234663800_6_1_1.jpg?ts=1676909203414,casual,Zara
NULL,shorts ,S,W,Black,Zara,HIGH WAISTED SHORTS,https://static.zara.net/photos///2023/V/0/1/p/2234/663/800/2/w/1500/2234663800_6_1_1.jpg?ts=1676909203414,casual,Zara
NULL,shorts ,S,W,Black,Zara,HIGH WAISTED SHORTS,https://static.zara.net/photos///2023/V/0/1/p/2234/663/800/2/w/1500/2234663800_6_1_1.jpg?ts=1676909203414,casual,Zara
NULL,pants,S,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,S,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,S,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,S,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,S,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,S,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,S,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,S,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,S,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,S,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,M,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,M,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,M,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,M,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,M,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,L,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,L,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,pants,L,W,STONE,Zara,PLUSH CARGO PANTS,https://static.zara.net/photos///2023/V/0/1/p/4174/848/806/2/w/1500/4174848806_1_1_1.jpg?ts=1668761662172,casual,Zara
NULL,sweatshirt,S,W,GRAY MARL,Zara,CROP SWEATSHIRT,https://static.zara.net/photos///2023/V/0/1/p/3199/304/803/2/w/1500/3199304803_1_1_1.jpg?ts=1674753321516,casual,Zara
NULL,sweatshirt,S,W,GRAY MARL,Zara,CROP SWEATSHIRT,https://static.zara.net/photos///2023/V/0/1/p/3199/304/803/2/w/1500/3199304803_1_1_1.jpg?ts=1674753321516,casual,Zara
NULL,sweatshirt,M,W,GRAY MARL,Zara,CROP SWEATSHIRT,https://static.zara.net/photos///2023/V/0/1/p/3199/304/803/2/w/1500/3199304803_1_1_1.jpg?ts=1674753321516,casual,Zara
NULL,sweatshirt,M,W,GRAY MARL,Zara,CROP SWEATSHIRT,https://static.zara.net/photos///2023/V/0/1/p/3199/304/803/2/w/1500/3199304803_1_1_1.jpg?ts=1674753321516,casual,Zara
NULL,pants,S,W,GRAY MARL,Zara,WIDE LEG PLUSH PANTS,https://static.zara.net/photos///2023/V/0/1/p/0962/010/803/2/w/1500/0962010803_2_1_1.jpg?ts=1676896411008,casual,Zara
NULL,pants,S,W,GRAY MARL,Zara,WIDE LEG PLUSH PANTS,https://static.zara.net/photos///2023/V/0/1/p/0962/010/803/2/w/1500/0962010803_2_1_1.jpg?ts=1676896411009,casual,Zara
NULL,pants,S,W,GRAY MARL,Zara,WIDE LEG PLUSH PANTS,https://static.zara.net/photos///2023/V/0/1/p/0962/010/803/2/w/1500/0962010803_2_1_1.jpg?ts=1676896411010,casual,Zara
NULL,pants,M,W,GRAY MARL,Zara,WIDE LEG PLUSH PANTS,https://static.zara.net/photos///2023/V/0/1/p/0962/010/803/2/w/1500/0962010803_2_1_1.jpg?ts=1676896411010,casual,Zara
NULL,pants,M,W,GRAY MARL,Zara,WIDE LEG PLUSH PANTS,https://static.zara.net/photos///2023/V/0/1/p/0962/010/803/2/w/1500/0962010803_2_1_1.jpg?ts=1676896411010,casual,Zara
NULL,pants,S,W,Pearl gray ,Zara,NYLON BLEND PARACHUTE PANTS,https://static.zara.net/photos///2023/V/0/1/p/4391/406/804/2/w/1500/4391406804_1_1_1.jpg?ts=1673978944556,casual,Zara
NULL,top,S,W,Black,Zara,ASYMMETRICAL TOP,https://static.zara.net/photos///2023/V/0/1/p/4174/322/800/2/w/1500/4174322800_1_1_1.jpg?ts=1675180408360,casual,Zara
NULL,top,S,W,White,Zara,ASYMMETRICAL TOP,,casual,
NULL,sweatshirt,S/M,W,Grey,Urban Outfitters,Sex Pistols Anarchy Oversized Hoodie Sweatshirt,https://images.urbndata.com/is/image/UrbanOutfitters/78975885_004_b?$xlarge$&fit=constrain&fmt=webp&qlt=80&wid=1314,casual,
NULL,pants,XS,W,Black,Aritzia,Cozy Fleece Mega Cargo,https://aritzia.scene7.com/is/image/Aritzia/s23_03_a06_91985_1274_on_b?wid=1800,casual,
NULL,pants,4,W,Black,Aritzia,The Effortless Pant,https://aritzia.scene7.com/is/image/Aritzia/s23_04_a06_77775_1274_on_a?wid=1800,business casual,
NULL,pants,4,W,Black,Aritzia,The Melina Pant,https://aritzia.scene7.com/is/image/Aritzia/s23_04_a06_81518_1274_on_b?wid=1800,going out,
NULL,shirt,S/M,W,Blue,Urban Outfitters,Koi Fish Oversized Graphic Tee,,casual,
NULL,shirt,L,M,Charcoal gray,Cactus Jack,Travis Scott x Fortnite x Cactus Jack Oversized Graphic Tee,,casual,
NULL,sweatshirt,S/M,W,Pink,Urban Outfitters,Pink Tie-Dye David Bowie Oversized Shirt,,casual,
NULL,purse,,W,BLANC VINTAGE,YSL,LE 5 À 7 IN SMOOTH LEATHER,,luxury,YSL
